Underlying Equity's Prices,,,,
Date,Equity 1,Equity 2 ,Equity 3,Equity 4
27-Sep-21,207.7149,268.5635,968.8918,968.8936
28-Sep-21,206.7233,268.5504,971.0072,971.0072
29-Sep-21,209.7611,268.7282,963.9755,963.9833
30-Sep-21,209.3431,268.4115,964.6193,964.6168
01-Oct-21,210.7553,268.6958,965.4111,965.4138
04-Oct-21,211.4491,268.7291,981.1228,981.1244
05-Oct-21,210.8892,268.4498,1000.048,1000.0444
06-Oct-21,212.1304,268.7494,986.4541,986.4585
07-Oct-21,212.4769,268.8149,992.8783,992.8791
08-Oct-21,212.7245,268.6996,998.2037,998.206
11-Oct-21,214.1178,269.0195,1005.8469,1005.8454
12-Oct-21,212.892,268.9655,1008.8253,1008.8189
13-Oct-21,211.9804,268.9171,1005.3594,1005.3537
14-Oct-21,211.6713,268.8791,1018.2387,1018.2428
15-Oct-21,212.6282,268.8634,1036.3924,1036.3974
18-Oct-21,213.3505,269.0831,1027.5652,1027.5651
19-Oct-21,213.4677,268.9338,1019.2062,1019.207
20-Oct-21,213.6886,268.6343,1027.1392,1027.1392
21-Oct-21,212.9871,268.8193,1002.3914,1002.388
22-Oct-21,213.0227,268.3154,1009.0358,1009.041
25-Oct-21,212.4598,267.7073,1021.3262,1021.3316
26-Oct-21,213.2212,267.6772,1020.9044,1020.9028
27-Oct-21,212.8324,267.3693,999.1445,999.1464
28-Oct-21,212.8196,267.7244,1001.6134,1001.6105
29-Oct-21,212.8626,267.8946,1003.7089,1003.7048
01-Nov-21,213.2344,267.6154,1021.3884,1021.3869
02-Nov-21,213.5378,267.6859,1017.0823,1017.0818
03-Nov-21,212.738,267.6004,995.2539,995.2556
04-Nov-21,212.2941,267.8435,980.6689,980.6685
05-Nov-21,213.0639,268.1125,989.493,989.4964
08-Nov-21,213.3463,268.0302,992.852,992.8526
09-Nov-21,212.4239,268.4647,1008.53,1008.5276
10-Nov-21,210.9604,268.4169,1003.8014,1003.7978
11-Nov-21,211.331,268.0131,1007.8418,1007.8405
12-Nov-21,209.5644,268.5682,1008.2957,1008.2918
15-Nov-21,209.1738,268.3399,1007.4591,1007.4616
16-Nov-21,209.904,268.1926,1002.503,1002.5101
17-Nov-21,208.2284,268.8216,1002.7807,1002.7838
18-Nov-21,209.169,269.007,1002.0451,1002.0443
19-Nov-21,208.2506,269.284,1003.3283,1003.3243
22-Nov-21,208.8468,269.2404,1009.8086,1009.8101
23-Nov-21,210.6778,269.3737,1015.9405,1015.9358
24-Nov-21,211.3698,269.157,1016.0886,1016.0829
26-Nov-21,207.9782,268.6674,1007.0574,1007.055
29-Nov-21,208.6121,269.3133,1001.1558,1001.1553
30-Nov-21,206.4877,269.6493,988.3945,988.3895
01-Dec-21,205.5678,269.7163,988.4673,988.4619
02-Dec-21,205.1615,269.576,995.3602,995.3657
03-Dec-21,205.3298,269.6755,994.887,994.886
06-Dec-21,205.2548,270.3773,995.6811,995.6827
07-Dec-21,206.0522,270.7892,995.7638,995.7589
08-Dec-21,206.4056,270.7193,993.5739,993.5694
09-Dec-21,206.5363,271.0115,987.934,987.9302
10-Dec-21,207.0277,271.0237,985.6159,985.6141
13-Dec-21,206.088,271.1447,986.6488,986.6438
14-Dec-21,205.6875,271.0236,985.3058,985.3017
15-Dec-21,206.5181,271.1461,980.0071,980.0092
16-Dec-21,205.4969,270.8928,983.7644,983.761
17-Dec-21,204.1312,270.8312,982.9085,982.9104
20-Dec-21,204.8939,271.0283,978.0068,978.0025
21-Dec-21,205.1568,270.9054,981.2692,981.2632
22-Dec-21,204.6993,270.181,984.4803,984.4824
23-Dec-21,204.2812,270.4027,984.1482,984.1543
27-Dec-21,206.2715,270.1981,985.4455,985.4472
28-Dec-21,205.993,270.6037,983.6392,983.6322
29-Dec-21,206.2654,270.606,985.4875,985.4887
30-Dec-21,204.8769,270.7246,984.3965,984.392
31-Dec-21,204.8843,270.822,983.4781,983.482
03-Jan-22,206.216,271.0567,983.6714,983.6709
04-Jan-22,206.04,271.0517,987.0516,987.0505
05-Jan-22,205.6305,270.7836,986.9009,986.899
06-Jan-22,207.0901,270.7498,984.1123,984.1097
07-Jan-22,206.6405,270.6747,988.3509,988.3494
10-Jan-22,205.3592,270.8247,986.1439,986.143
11-Jan-22,205.3587,270.3851,992.4722,992.4755
12-Jan-22,204.1303,269.3475,994.0283,994.0321
13-Jan-22,205.2413,270.6896,991.733,991.7333
14-Jan-22,205.6757,270.3262,991.7857,991.7861
18-Jan-22,206.0235,270.2487,992.2021,992.2067
19-Jan-22,205.759,270.3567,998.7198,998.7138
